編號,案類,發生(現)日期,發生時段,地點,icon
387,住宅竊盜,1041007,13~15,台北市北投區清江里大興街24巷2弄1-30號,ylw_stars
388,住宅竊盜,1041007,13~15,台北市信義區惠安里吳興街506巷1-30號,ylw_stars
389,住宅竊盜,1041009,19~21,台北市萬華區成都路91-120號,ylw_stars
390,住宅竊盜,1041011,16~18,台北市信義區雅祥里松信路31-60號,ylw_stars
391,住宅竊盜,1041011,22~24,台北市內湖區內湖路一段91巷151-180號,ylw_stars
392,住宅竊盜,1041013,07~09,台北市松山區撫遠街403巷1-30號,ylw_stars
393,住宅竊盜,1041013,07~09,台北市文山區樟腳里9鄰恆光街30巷1-30號,ylw_stars
394,住宅竊盜,1041013,13~15,台北市信義區五全里永吉路200巷41弄1-30號,ylw_stars
395,住宅竊盜,1041018,04~06,台北市中正區忠勤里汀州路一段92巷1-30號,ylw_stars
396,住宅竊盜,1041018,07~09,台北市萬華區富福里大理街1-30號,ylw_stars
397,住宅竊盜,1041019,01~03,台北市萬華區昆明路121-150號,ylw_stars
398,住宅竊盜,1041020,07~09,台北市大同區延平里安西街91巷1-30號,ylw_stars
399,住宅竊盜,1041021,07~09,台北市信義區三犁里03鄰松仁路253巷01弄1-30號,ylw_stars
400,住宅竊盜,1041021,19~21,台北市士林區福中里福港街121-150號,ylw_stars
401,住宅竊盜,1041021,22~24,台北市中正區水源里羅斯福路四段40巷1-30號,ylw_stars
402,住宅竊盜,1041024,07~09,台北市中正區南門里博愛路230巷1-30號,ylw_stars
403,住宅竊盜,1041026,19~21,台北市中山區吉林路161巷1-30號,ylw_stars
404,住宅竊盜,1041027,10~12,台北市士林區聖山里忠誠路一段171巷10弄1-30號,ylw_stars
405,住宅竊盜,1041027,22~24,台北市士林區福佳里文林路495巷1-30號,ylw_stars
406,住宅竊盜,1041030,19~21,台北市信義區松友里虎林街241-270號,ylw_stars
407,住宅竊盜,1041030,19~21,台北市中山區遼寧街185巷7弄1-30號,ylw_stars
408,住宅竊盜,1041031,19~21,台北市中山區龍江路356巷1-30號,ylw_stars
