編號,案類,發生(現)日期,發生時段,地點,icon
1,自行車竊盜,1040101,16~18,台北市大安區住安里四維路124巷1-30號,wht_stars
2,自行車竊盜,1040104,07~09,台北市大安區敦煌里仁愛路四段266巷1-30號,wht_stars
3,自行車竊盜,1040106,13~15,台北市萬華區國興路1-30號,wht_stars
4,自行車竊盜,1040108,07~09,台北市北投區清江里三合街二段481-510號,wht_stars
5,自行車竊盜,1040108,16~18,台北市松山區延壽街391-420號,wht_stars
6,自行車竊盜,1040109,04~06,台北市南港區三重里南港路一段南港展覽館站,wht_stars
7,自行車竊盜,1040109,13~15,台北市內湖區金湖里康寧路三段31-60號,wht_stars
8,自行車竊盜,1040109,13~15,台北市北投區大同里光明路1-30號,wht_stars
9,自行車竊盜,1040110,04~06,台北市內湖區康寧路三段31-60號,wht_stars
10,自行車竊盜,1040110,10~12,台北市松山區三民路121-150號,wht_stars
11,自行車竊盜,1040110,16~18,台北市萬華區西昌街29巷1-30號,wht_stars
12,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,wht_stars
13,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,wht_stars
14,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,wht_stars
15,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,wht_stars
16,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31-60號,wht_stars
17,自行車竊盜,1040111,07~09,台北市萬華區萬大路387巷1-30號,wht_stars
18,自行車竊盜,1040111,13~15,台北市北投區大同里光明路1-30號,wht_stars
19,自行車竊盜,1040113,10~12,台北市中正區忠孝東路一段31-60號,wht_stars
20,自行車竊盜,1040115,07~09,台北市信義區中行里福德街221巷4弄1-30號,wht_stars
21,自行車竊盜,1040116,04~06,台北市松山區撫遠街361-390號,wht_stars
22,自行車竊盜,1040117,16~18,台北市大安區仁慈里仁愛路四段1-30號,wht_stars
23,自行車竊盜,1040118,07~09,台北市萬華區西園路二段91-120號,wht_stars
24,自行車竊盜,1040119,07~09,台北市信義區大道里忠孝東路五段781-810號,wht_stars
25,自行車竊盜,1040120,10~12,台北市信義區西村里松壽路1-30號,wht_stars
26,自行車竊盜,1040121,10~12,台北市內湖區南湖里東湖捷運站,wht_stars
27,自行車竊盜,1040121,10~12,台北市內湖區港墘里內湖路一段661-690號,wht_stars
28,自行車竊盜,1040122,22~24,台北市北投區一德里中央北路四段577巷27弄1-30號,wht_stars
29,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段1-30號,wht_stars
30,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段與興華路口,wht_stars
31,自行車竊盜,1040123,19~21,台北市北投區東華里東華街二段301-330號,wht_stars
32,自行車竊盜,1040123,19~21,台北市北投區石牌里自強街91-120號,wht_stars
33,自行車竊盜,1040123,22~24,台北市松山區三民路62巷1-30號,wht_stars
34,自行車竊盜,1040124,22~24,台北市中正區黎明里市民大道一段台北捷運站,wht_stars
35,自行車竊盜,1040125,10~12,台北市中正區東門里愛國東路上,wht_stars
36,自行車竊盜,1040125,10~12,台北市南港區鴻福里成福路31-60號,wht_stars
37,自行車竊盜,1040125,13~15,台北市萬華區西園路二段211-240號,wht_stars
38,自行車竊盜,1040126,10~12,台北市信義區忠孝東路五段市府捷運站,wht_stars
39,自行車竊盜,1040126,13~15,台北市萬華區寶興街121-150號,wht_stars
40,自行車竊盜,1040127,16~18,台北市北投區桃源里中央北路三段53巷1-30號,wht_stars
41,自行車竊盜,1040128,04~06,台北市文山區興邦里興隆路二段181-210號,wht_stars
42,自行車竊盜,1040128,13~15,台北市大安區信義路敦化南路口,wht_stars
43,自行車竊盜,1040129,16~18,台北市大安區敦煌里安和路一段61-90號,wht_stars
44,自行車竊盜,1040130,10~12,台北市萬華區西園路二段241-270號,wht_stars
45,自行車竊盜,1040130,16~18,台北市北投區一德里大度路三段296巷31-60號,wht_stars
46,自行車竊盜,1040131,16~18,台北市中山區松江路361-390號,wht_stars
